sezon,mecz,data,wynik,status,runda,druzyna_domowa,druzyna_goscinna,bramki_domowe,bramki_goscinne
LIQUI MOLY HBL 2020/21,SG Flensburg-Handewitt vs HBW Balingen-Weilstetten,2021-06-27 13:30,38:26,Final,Round: 38,SG Flensburg-Handewitt,HBW Balingen-Weilstetten,38,26
LIQUI MOLY HBL 2020/21,TSV Hannover-Burgdorf vs SC DHfK Leipzig,2021-06-27 13:30,31:28,Final,Round: 38,TSV Hannover-Burgdorf,SC DHfK Leipzig,31,28
LIQUI MOLY HBL 2020/21,Rhein-Neckar Löwen vs THW Kiel,2021-06-27 13:30,25:25,Final,Round: 38,Rhein-Neckar Löwen,THW Kiel,25,25
LIQUI MOLY HBL 2020/21,Füchse Berlin vs Bergischer HC,2021-06-27 13:30,29:27,Final,Round: 38,Füchse Berlin,Bergischer HC,29,27
LIQUI MOLY HBL 2020/21,HSG Wetzlar vs GWD Minden,2021-06-27 13:30,28:25,Final,Round: 38,HSG Wetzlar,GWD Minden,28,25
LIQUI MOLY HBL 2020/21,TVB Stuttgart vs MT Melsungen,2021-06-27 13:30,26:26,Final,Round: 38,TVB Stuttgart,MT Melsungen,26,26
LIQUI MOLY HBL 2020/21,Eulen Ludwigshafen vs FRISCH AUF! Göppingen,2021-06-27 13:30,25:27,Final,Round: 38,Eulen Ludwigshafen,FRISCH AUF! Göppingen,25,27
LIQUI MOLY HBL 2020/21,HSG Nordhorn-Lingen vs HC Erlangen,2021-06-27 13:30,30:31,Final,Round: 38,HSG Nordhorn-Lingen,HC Erlangen,30,31
LIQUI MOLY HBL 2020/21,TBV Lemgo Lippe vs SC Magdeburg,2021-06-27 11:00,32:27,Final,Round: 38,TBV Lemgo Lippe,SC Magdeburg,32,27
LIQUI MOLY HBL 2020/21,HSC 2000 Coburg vs TuSEM Essen,2021-06-27 11:00,31:32,Final,Round: 38,HSC 2000 Coburg,TuSEM Essen,31,32
LIQUI MOLY HBL 2020/21,THW Kiel vs TBV Lemgo Lippe,2021-06-24 17:00,33:23,Final,Round: 37,THW Kiel,TBV Lemgo Lippe,33,23
LIQUI MOLY HBL 2020/21,SC Magdeburg vs HSG Wetzlar,2021-06-24 17:00,27:27,Final,Round: 37,SC Magdeburg,HSG Wetzlar,27,27
LIQUI MOLY HBL 2020/21,FRISCH AUF! Göppingen vs HSC 2000 Coburg,2021-06-24 17:00,37:29,Final,Round: 37,FRISCH AUF! Göppingen,HSC 2000 Coburg,37,29
LIQUI MOLY HBL 2020/21,GWD Minden vs Eulen Ludwigshafen,2021-06-24 17:00,24:24,Final,Round: 37,GWD Minden,Eulen Ludwigshafen,24,24
LIQUI MOLY HBL 2020/21,TuSEM Essen vs Rhein-Neckar Löwen,2021-06-24 17:00,23:33,Final,Round: 37,TuSEM Essen,Rhein-Neckar Löwen,23,33
LIQUI MOLY HBL 2020/21,MT Melsungen vs Füchse Berlin,2021-06-23 17:00,32:35,Final,Round: 37,MT Melsungen,Füchse Berlin,32,35
LIQUI MOLY HBL 2020/21,SC DHfK Leipzig vs HSG Nordhorn-Lingen,2021-06-23 17:00,24:21,Final,Round: 37,SC DHfK Leipzig,HSG Nordhorn-Lingen,24,21
LIQUI MOLY HBL 2020/21,Bergischer HC vs TVB Stuttgart,2021-06-23 17:00,30:31,Final,Round: 37,Bergischer HC,TVB Stuttgart,30,31
LIQUI MOLY HBL 2020/21,HC Erlangen vs SG Flensburg-Handewitt,2021-06-23 17:00,26:27,Final,Round: 37,HC Erlangen,SG Flensburg-Handewitt,26,27
LIQUI MOLY HBL 2020/21,HBW Balingen-Weilstetten vs TSV Hannover-Burgdorf,2021-06-23 17:00,30:26,Final,Round: 37,HBW Balingen-Weilstetten,TSV Hannover-Burgdorf,30,26
LIQUI MOLY HBL 2020/21,TSV Hannover-Burgdorf vs TuSEM Essen,2021-06-20 14:00,30:26,Final,Round: 36,TSV Hannover-Burgdorf,TuSEM Essen,30,26
LIQUI MOLY HBL 2020/21,TBV Lemgo Lippe vs MT Melsungen,2021-06-20 14:00,28:30,Final,Round: 36,TBV Lemgo Lippe,MT Melsungen,28,30
LIQUI MOLY HBL 2020/21,GWD Minden vs FRISCH AUF! Göppingen,2021-06-20 14:00,24:23,Final,Round: 36,GWD Minden,FRISCH AUF! Göppingen,24,23
LIQUI MOLY HBL 2020/21,HSG Nordhorn-Lingen vs SG Flensburg-Handewitt,2021-06-20 14:00,28:38,Final,Round: 36,HSG Nordhorn-Lingen,SG Flensburg-Handewitt,28,38
LIQUI MOLY HBL 2020/21,Eulen Ludwigshafen vs THW Kiel,2021-06-20 11:30,20:29,Final,Round: 36,Eulen Ludwigshafen,THW Kiel,20,29
LIQUI MOLY HBL 2020/21,Füchse Berlin vs HBW Balingen-Weilstetten,2021-06-19 18:30,36:30,Final,Round: 36,Füchse Berlin,HBW Balingen-Weilstetten,36,30
LIQUI MOLY HBL 2020/21,HSG Wetzlar vs SC DHfK Leipzig,2021-06-19 18:30,29:26,Final,Round: 36,HSG Wetzlar,SC DHfK Leipzig,29,26
LIQUI MOLY HBL 2020/21,TVB Stuttgart vs HC Erlangen,2021-06-19 18:30,25:27,Final,Round: 36,TVB Stuttgart,HC Erlangen,25,27
LIQUI MOLY HBL 2020/21,HSC 2000 Coburg vs Bergischer HC,2021-06-19 18:30,24:27,Final,Round: 36,HSC 2000 Coburg,Bergischer HC,24,27
LIQUI MOLY HBL 2020/21,Rhein-Neckar Löwen vs SC Magdeburg,2021-06-19 16:30,22:27,Final,Round: 36,Rhein-Neckar Löwen,SC Magdeburg,22,27
LIQUI MOLY HBL 2020/21,THW Kiel vs FRISCH AUF! Göppingen,2021-06-17 17:00,31:23,Final,Round: 35,THW Kiel,FRISCH AUF! Göppingen,31,23
LIQUI MOLY HBL 2020/21,SG Flensburg-Handewitt vs Füchse Berlin,2021-06-17 17:00,29:33,Final,Round: 35,SG Flensburg-Handewitt,Füchse Berlin,29,33
LIQUI MOLY HBL 2020/21,MT Melsungen vs TSV Hannover-Burgdorf,2021-06-17 17:00,20:28,Final,Round: 35,MT Melsungen,TSV Hannover-Burgdorf,20,28
LIQUI MOLY HBL 2020/21,HC Erlangen vs TBV Lemgo Lippe,2021-06-17 17:00,31:35,Final,Round: 35,HC Erlangen,TBV Lemgo Lippe,31,35
LIQUI MOLY HBL 2020/21,SC Magdeburg vs Eulen Ludwigshafen,2021-06-16 17:00,37:29,Final,Round: 35,SC Magdeburg,Eulen Ludwigshafen,37,29
LIQUI MOLY HBL 2020/21,SC DHfK Leipzig vs HSC 2000 Coburg,2021-06-16 17:00,35:29,Final,Round: 35,SC DHfK Leipzig,HSC 2000 Coburg,35,29
LIQUI MOLY HBL 2020/21,Bergischer HC vs Rhein-Neckar Löwen,2021-06-16 17:00,26:28,Final,Round: 35,Bergischer HC,Rhein-Neckar Löwen,26,28
LIQUI MOLY HBL 2020/21,HBW Balingen-Weilstetten vs HSG Wetzlar,2021-06-16 17:00,30:28,Final,Round: 35,HBW Balingen-Weilstetten,HSG Wetzlar,30,28
LIQUI MOLY HBL 2020/21,HSG Nordhorn-Lingen vs TVB Stuttgart,2021-06-16 17:00,26:29,Final,Round: 35,HSG Nordhorn-Lingen,TVB Stuttgart,26,29
LIQUI MOLY HBL 2020/21,HSC 2000 Coburg vs TBV Lemgo Lippe,2021-06-13 14:00,23:27,Final,Round: 26,HSC 2000 Coburg,TBV Lemgo Lippe,23,27
LIQUI MOLY HBL 2020/21,TSV Hannover-Burgdorf vs HC Erlangen,2021-06-13 14:00,27:26,Final,Round: 34,TSV Hannover-Burgdorf,HC Erlangen,27,26
LIQUI MOLY HBL 2020/21,Rhein-Neckar Löwen vs MT Melsungen,2021-06-13 14:00,31:22,Final,Round: 34,Rhein-Neckar Löwen,MT Melsungen,31,22
LIQUI MOLY HBL 2020/21,Füchse Berlin vs HSG Nordhorn-Lingen,2021-06-13 14:00,29:25,Final,Round: 34,Füchse Berlin,HSG Nordhorn-Lingen,29,25
LIQUI MOLY HBL 2020/21,FRISCH AUF! Göppingen vs SC Magdeburg,2021-06-13 11:30,21:29,Final,Round: 34,FRISCH AUF! Göppingen,SC Magdeburg,21,29
LIQUI MOLY HBL 2020/21,GWD Minden vs THW Kiel,2021-06-12 18:30,30:35,Final,Round: 34,GWD Minden,THW Kiel,30,35
LIQUI MOLY HBL 2020/21,HSG Wetzlar vs TuSEM Essen,2021-06-10 17:00,26:30,Final,Round: 34,HSG Wetzlar,TuSEM Essen,26,30
LIQUI MOLY HBL 2020/21,TBV Lemgo Lippe vs Bergischer HC,2021-06-10 17:00,31:23,Final,Round: 34,TBV Lemgo Lippe,Bergischer HC,31,23
LIQUI MOLY HBL 2020/21,Eulen Ludwigshafen vs SC DHfK Leipzig,2021-06-10 17:00,27:27,Final,Round: 34,Eulen Ludwigshafen,SC DHfK Leipzig,27,27
LIQUI MOLY HBL 2020/21,HSC 2000 Coburg vs HBW Balingen-Weilstetten,2021-06-10 17:00,27:27,Final,Round: 34,HSC 2000 Coburg,HBW Balingen-Weilstetten,27,27
LIQUI MOLY HBL 2020/21,TVB Stuttgart vs SG Flensburg-Handewitt,2021-06-09 17:00,30:32,Final,Round: 34,TVB Stuttgart,SG Flensburg-Handewitt,30,32
LIQUI MOLY HBL 2020/21,SC Magdeburg vs THW Kiel,2021-06-08 18:30,34:33,Final,Round: 33,SC Magdeburg,THW Kiel,34,33
